Hakim Ziyech,MAR,"MF,FW",29,5,1,152.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,Chelsea
Lewis Hall,ENG,DF,18,1,1,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,Chelsea
Carney Chukwuemeka,ENG,MF,19,3,0,46.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,Chelsea
Ethan Ampadu,WAL,"DF,MF",22,0,0,0,0,0,0,0,0,0,0,Chelsea
Marcus Bettinelli,ENG,GK,30,0,0,0,0,0,0,0,0,0,0,Chelsea
Billy Gilmour,SCO,MF,21,0,0,0,0,0,0,0,0,0,0,Chelsea
Callum Hudson-Odoi,ENG,"FW,MF",22,0,0,0,0,0,0,0,0,0,0,Chelsea
Omari Hutchinson,ENG,DF,19,0,0,0,0,0,0,0,0,0,0,Chelsea
Harvey Vale,ENG,MF,19,0,0,0,0,0,0,0,0,0,0,Chelsea
Denis Zakaria,SUI,MF,26,0,0,0,0,0,0,0,0,0,0,Chelsea
Tim Ream,USA,DF,35,15,15,1347.0,0.0,0.0,0.0,1.0,0.0,0.2,0.0,Fulham
Andreas Pereira,BRA,MF,26,15,15,1240.0,2.0,4.0,1.0,3.0,0.0,2.2,2.8,Fulham
João Palhinha,POR,MF,27,14,14,1251.0,2.0,0.0,0.0,5.0,0.0,0.8,0.0,Fulham
